collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-07-07 01:37:56,A1100043,강동경희대학교병원,20260707013519,6,,,17,4,151,Y,Y,Y,Y,Y,15
2026-07-07 01:37:56,A1100014,고려대학교의과대학부속구로병원,20260707013340,2,1,1,24,-1,-11,Y,Y,Y,Y,Y,29
2026-07-07 01:37:56,A1100013,한양대학교병원,20260707013259,9,2,2,16,2,124,Y,Y,Y,Y,Y,20
2026-07-07 01:37:56,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260707013408,8,1,1,25,4,31,Y,Y,Y,Y,Y,30
2026-07-07 01:37:56,A1100005,이화여자대학교의과대학부속목동병원,20260707013528,13,0,8,13,14,41,Y,Y,Y,Y,Y,19
2026-07-07 01:37:56,A1100017,서울대학교병원,20260707013500,-6,3,5,53,9,54,Y,Y,Y,Y,Y,24
2026-07-07 01:37:56,A1100035,서울특별시서울의료원,20260707013500,7,1,,10,2,89,Y,Y,Y,Y,Y,19
2026-07-07 01:37:56,A1100015,연세대학교의과대학강남세브란스병원,20260707013344,-1,,,23,1,38,Y,Y,Y,Y,Y,21
2026-07-07 01:37:56,A1100010,삼성서울병원,20260707013242,3,11,10,53,2,90,Y,Y,Y,Y,Y,52
2026-07-07 01:37:56,A1100028,성심의료재단강동성심병원,20260707013332,8,0,,13,3,147,Y,Y,Y,Y,Y,15
2026-07-07 01:37:56,A1100053,한국보훈복지의료공단중앙보훈병원,20260707013301,19,5,1,14,,87,Y,Y,Y,Y,Y,22
2026-07-07 01:37:56,A1120796,이화여자대학교의과대학부속서울병원,20260707013124,1,2,8,19,3,92,Y,Y,Y,Y,Y,14
2026-07-07 01:37:56,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260707013510,6,,,7,,24,Y,Y,Y,Y,Y,18
2026-07-07 01:37:56,A1100002,건국대학교병원,20260707013228,9,2,9,21,1,128,Y,Y,Y,Y,Y,20
2026-07-07 01:37:56,A1100016,인제대학교상계백병원,20260707013520,11,0,3,13,0,50,Y,Y,Y,Y,Y,16
2026-07-07 01:37:56,A1100048,노원을지대학교병원,20260707013102,14,1,8,11,1,173,Y,Y,Y,Y,Y,17
2026-07-07 01:37:56,A1100020,의료법인한전의료재단한일병원,20260707013503,16,,,8,,60,Y,Y,Y,Y,Y,21
2026-07-07 01:37:56,A1100001,경희대학교병원,20260707013523,8,,,16,-1,146,Y,Y,Y,Y,Y,15
2026-07-07 01:37:56,A1100021,삼육서울병원,20260707013306,12,,,5,4,30,Y,Y,Y,Y,Y,13
2026-07-07 01:37:56,A1100040,서울특별시보라매병원,20260707013500,18,3,10,14,2,164,Y,Y,Y,Y,Y,31
2026-07-07 01:37:56,A1100003,중앙대학교병원,20260707013509,8,6,1,16,0,115,Y,Y,Y,Y,Y,18
2026-07-07 01:37:56,A1100007,연세대학교의과대학세브란스병원,20260707013357,2,7,10,3,12,199,Y,Y,Y,Y,Y,39
2026-07-07 01:37:56,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260707013511,-10,8,14,32,11,56,Y,Y,Y,Y,Y,28
2026-07-07 01:37:56,A1100009,재단법인아산사회복지재단서울아산병원,20260707013415,2,2,6,4,9,102,Y,Y,Y,Y,Y,36
