collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-07-20 00:31:30,A1100043,강동경희대학교병원,20260720003030,-2,,,17,1,157,Y,Y,Y,Y,Y,15
2026-07-20 00:31:30,A1100014,고려대학교의과대학부속구로병원,20260720002622,7,0,1,24,0,87,Y,Y,Y,Y,Y,29
2026-07-20 00:31:30,A1100013,한양대학교병원,20260720002800,12,0,4,16,1,233,Y,Y,Y,Y,Y,20
2026-07-20 00:31:30,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260720003012,9,0,1,25,1,112,Y,Y,Y,Y,Y,30
2026-07-20 00:31:30,A1100005,이화여자대학교의과대학부속목동병원,20260720002542,12,0,7,13,9,60,Y,Y,Y,Y,Y,19
2026-07-20 00:31:30,A1100017,서울대학교병원,20260720002957,0,4,9,53,4,190,Y,Y,Y,Y,Y,24
2026-07-20 00:31:30,A1100035,서울특별시서울의료원,20260720003001,2,0,,10,3,82,Y,Y,Y,Y,Y,19
2026-07-20 00:31:30,A1100015,연세대학교의과대학강남세브란스병원,20260720002708,7,,,23,1,105,Y,Y,Y,Y,Y,21
2026-07-20 00:31:30,A1100010,삼성서울병원,20260720002900,5,8,15,52,1,234,Y,Y,Y,Y,Y,52
2026-07-20 00:31:30,A1100028,성심의료재단강동성심병원,20260720002813,8,0,,13,3,163,Y,Y,Y,Y,Y,15
2026-07-20 00:31:30,A1100053,한국보훈복지의료공단중앙보훈병원,20260720002831,19,3,9,14,,170,Y,Y,Y,Y,Y,22
2026-07-20 00:31:30,A1120796,이화여자대학교의과대학부속서울병원,20260720002638,-2,2,4,19,1,170,Y,Y,Y,Y,Y,14
2026-07-20 00:31:30,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260720003018,15,,,7,,64,Y,Y,Y,Y,Y,18
2026-07-20 00:31:30,A1100002,건국대학교병원,20260720002801,6,4,9,21,1,188,Y,Y,Y,Y,Y,20
2026-07-20 00:31:30,A1100016,인제대학교상계백병원,20260720002622,10,2,3,13,0,98,Y,Y,Y,Y,Y,16
2026-07-20 00:31:30,A1100048,노원을지대학교병원,20260720002602,9,4,9,11,5,219,Y,Y,Y,Y,Y,17
2026-07-20 00:31:30,A1100020,의료법인한전의료재단한일병원,20260720003004,11,,,8,,81,Y,Y,Y,Y,Y,21
2026-07-20 00:31:30,A1100001,경희대학교병원,20260720002932,2,,,16,1,176,Y,Y,Y,Y,Y,15
2026-07-20 00:31:30,A1100021,삼육서울병원,20260720002644,10,,,5,4,62,Y,Y,Y,Y,Y,13
2026-07-20 00:31:30,A1100040,서울특별시보라매병원,20260720003000,20,7,11,14,2,226,Y,Y,Y,Y,Y,31
2026-07-20 00:31:30,A1100003,중앙대학교병원,20260720003014,10,4,5,16,0,188,Y,Y,Y,Y,Y,18
2026-07-20 00:31:30,A1100007,연세대학교의과대학세브란스병원,20260720002947,4,11,12,3,8,427,Y,Y,Y,Y,Y,39
2026-07-20 00:31:30,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260720003020,3,4,14,32,8,203,Y,Y,Y,Y,Y,28
2026-07-20 00:31:30,A1100009,재단법인아산사회복지재단서울아산병원,20260720002815,-2,3,13,4,6,309,Y,Y,Y,Y,Y,36
2026-07-20 00:31:30,A1100011,가톨릭대학교여의도성모병원,20260720003018,11,-1,0,13,,57,Y,Y,Y,Y,Y,15
2026-07-20 00:31:30,A1100055,한림대학교강남성심병원,20260720002714,14,2,0,14,0,133,Y,Y,Y,Y,Y,20
2026-07-20 00:31:30,A1100054,성애의료재단성애병원,20260720002919,11,,,5,2,30,Y,Y,Y,Y,Y,15
2026-07-20 00:31:30,A1100004,순천향대학교부속서울병원,20260720002722,15,,,14,3,153,Y,Y,Y,Y,Y,20
2026-07-20 00:31:30,A1121013,가톨릭대학교은평성모병원,20260720003023,5,0,0,19,7,187,Y,Y,Y,Y,Y,24
2026-07-20 00:31:30,A1100006,강북삼성병원,20260720003034,4,,1,16,-2,104,Y,Y,Y,Y,Y,15
2026-07-20 00:31:30,A1100052,국립중앙의료원,20260720002804,12,,0,7,,0,Y,Y,Y,Y,Y,15
