collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-07-29 00:00:24,A1100043,강동경희대학교병원,20260728235518,5,,,17,1,75,Y,Y,Y,Y,Y,15
2026-07-29 00:00:24,A1100014,고려대학교의과대학부속구로병원,20260728235409,6,0,3,24,1,49,Y,Y,Y,Y,Y,29
2026-07-29 00:00:24,A1100013,한양대학교병원,20260728235259,10,0,4,16,2,122,Y,Y,Y,Y,Y,20
2026-07-29 00:00:24,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260728235506,11,0,1,24,-2,26,Y,Y,Y,Y,Y,30
2026-07-29 00:00:24,A1100005,이화여자대학교의과대학부속목동병원,20260728235051,12,0,4,13,16,46,Y,Y,Y,Y,Y,19
2026-07-29 00:00:24,A1100017,서울대학교병원,20260728235528,-4,2,4,53,4,73,Y,Y,Y,Y,Y,24
2026-07-29 00:00:24,A1100035,서울특별시서울의료원,20260728235500,7,0,,10,1,94,Y,Y,Y,Y,Y,19
2026-07-29 00:00:24,A1100015,연세대학교의과대학강남세브란스병원,20260728235057,-4,,,23,2,38,Y,Y,Y,Y,Y,21
2026-07-29 00:00:24,A1100010,삼성서울병원,20260728235331,-18,18,11,52,4,57,Y,Y,Y,Y,Y,52
2026-07-29 00:00:24,A1100028,성심의료재단강동성심병원,20260728235406,12,4,,13,2,107,Y,Y,Y,Y,Y,15
2026-07-29 00:00:24,A1100053,한국보훈복지의료공단중앙보훈병원,20260728235351,18,6,7,13,,151,Y,Y,Y,Y,Y,22
2026-07-29 00:00:24,A1120796,이화여자대학교의과대학부속서울병원,20260728235146,-2,0,10,19,0,82,Y,Y,Y,Y,Y,14
2026-07-29 00:00:24,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260728235510,17,,,7,,15,Y,Y,Y,Y,Y,18
2026-07-29 00:00:24,A1100002,건국대학교병원,20260728235242,6,8,10,21,1,114,Y,Y,Y,Y,Y,20
2026-07-29 00:00:24,A1100016,인제대학교상계백병원,20260728235514,4,4,0,13,1,61,Y,Y,Y,Y,Y,16
2026-07-29 00:00:24,A1100048,노원을지대학교병원,20260728235102,9,2,2,10,0,189,Y,Y,Y,Y,Y,17
2026-07-29 00:00:24,A1100020,의료법인한전의료재단한일병원,20260728235503,14,,,8,,57,Y,Y,Y,Y,Y,21
2026-07-29 00:00:24,A1100001,경희대학교병원,20260728235524,10,,,16,-1,126,Y,Y,Y,Y,Y,15
2026-07-29 00:00:24,A1100021,삼육서울병원,20260728235339,10,,,5,4,58,Y,Y,Y,Y,Y,13
2026-07-29 00:00:24,A1100040,서울특별시보라매병원,20260728235500,17,5,10,13,0,123,Y,Y,Y,Y,Y,31
2026-07-29 00:00:24,A1100003,중앙대학교병원,20260728235509,9,2,4,16,0,122,Y,Y,Y,Y,Y,22
2026-07-29 00:00:24,A1100007,연세대학교의과대학세브란스병원,20260728235048,5,12,6,2,10,165,Y,Y,Y,Y,Y,39
2026-07-29 00:00:24,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260728235511,-13,7,9,32,6,44,Y,Y,Y,Y,Y,28
2026-07-29 00:00:24,A1100009,재단법인아산사회복지재단서울아산병원,20260728235215,2,1,4,4,9,89,Y,Y,Y,Y,Y,36
2026-07-29 00:00:24,A1100011,가톨릭대학교여의도성모병원,20260728235510,10,4,1,13,,63,Y,Y,Y,Y,Y,15
2026-07-29 00:00:24,A1100055,한림대학교강남성심병원,20260728235211,17,2,9,14,0,111,Y,Y,Y,Y,Y,20
2026-07-29 00:00:24,A1100054,성애의료재단성애병원,20260728235327,11,,,5,1,32,Y,Y,Y,Y,Y,15
2026-07-29 00:00:24,A1100004,순천향대학교부속서울병원,20260728235425,12,,,14,-1,96,Y,Y,Y,Y,Y,20
2026-07-29 00:00:24,A1121013,가톨릭대학교은평성모병원,20260728235509,4,0,0,19,6,60,Y,Y,Y,Y,Y,24
2026-07-29 00:00:24,A1100006,강북삼성병원,20260728235531,5,,1,16,1,26,Y,Y,Y,Y,Y,15
2026-07-29 00:00:24,A1100052,국립중앙의료원,20260728235504,15,,0,12312,,787,Y,Y,Y,Y,Y,15
2026-07-29 00:00:24,A1100036,부민병원,20260728235041,3,,,8,,43,Y,Y,Y,Y,Y,10
2026-07-29 00:00:24,A1100051,혜민병원,20260728235026,6,,,5,,32,Y,Y,N1,Y,Y,9
2026-07-29 00:00:24,A1100026,구로성심병원,20260728235500,8,,,3,,40,Y,Y,N1,Y,Y,9
2026-07-29 00:00:24,A1100049,희명병원,20260728235423,10,,,4,,127,Y,Y,N1,Y,Y,10
2026-07-29 00:00:24,A1100027,한국원자력의학원원자력병원,20260728235134,8,,,10,,160,Y,Y,Y,Y,Y,9
2026-07-29 00:00:24,A1100022,서울특별시동부병원,20260728235520,8,,,3,,20,Y,Y,N1,Y,Y,8
2026-07-29 00:00:24,A1100050,서울성심병원,20260728235315,16,,,6,,66,Y,Y,N1,Y,Y,17
2026-07-29 00:00:24,A1100025,의료법인동신의료재단동신병원,20260728235438,8,,,3,,46,Y,Y,N,Y,Y,9
2026-07-29 00:00:24,A1122033,기쁨병원,20260728235514,3,,,8,,44,Y,Y,Y,Y,Y,4
2026-07-29 00:00:24,A1100039,경찰병원,20260728235502,3,,,7,,120,Y,Y,N1,Y,Y,3
2026-07-29 00:00:24,A1100019,홍익병원,20260728235420,3,,,4,,46,Y,Y,Y,Y,Y,9
2026-07-29 00:00:24,A1100223,서울특별시서남병원,20260728235000,14,,,4,,56,Y,Y,N1,Y,Y,17
2026-07-29 00:00:24,A1100024,명지성모병원,20260728235509,7,,,3,,64,Y,Y,Y,Y,Y,8
2026-07-29 00:00:24,A1100037,대림성모병원,20260728235026,7,,,4,,28,Y,Y,N1,Y,Y,8
2026-07-29 00:00:24,A1100045,씨엠병원,20260728234500,9,,,5,,33,Y,Y,N1,Y,Y,9
2026-07-29 00:00:24,A1100023,의료법인청구성심병원,20260728235413,10,,,3,,8,Y,Y,N1,Y,Y,10
2026-07-29 00:00:24,A1100029,서울적십자병원,20260728235345,8,,,6,,85,Y,Y,N1,Y,Y,10
2026-07-29 00:00:24,A1100032,세란병원,20260728235310,10,,,13,,11,Y,Y,N1,Y,Y,10
2026-07-29 00:00:24,A1100075,의료법인풍산의료재단동부제일병원,20260728235045,7,,,2,,31,Y,N,N1,Y,Y,7
2026-07-29 00:00:24,A1100044,녹색병원,20260728235504,-4,,,3,,81,Y,Y,N1,Y,Y,5
2026-07-29 00:00:24,A1100030,의료법인성화의료재단대한병원,20210602182749,5,,,3,,54,Y,Y,Y,Y,Y,7
2026-07-29 00:00:24,A1100047,강남고려병원,20180503175041,10,,,3,,73,N,N1,N1,N,Y,10
2026-07-29 00:00:24,A1100038,한림대학교한강성심병원,20191119122409,30,,,5,,6,Y,Y,Y,Y,Y,30
2026-07-29 00:00:24,A1100152,은평연세병원,20180706100009,6,,,4,,,Y,Y,N1,Y,Y,6
2026-07-29 01:59:13,A1100043,강동경희대학교병원,20260729015517,7,,,17,1,73,Y,Y,Y,Y,Y,15
2026-07-29 01:59:13,A1100014,고려대학교의과대학부속구로병원,20260729015134,4,0,3,24,1,47,Y,Y,Y,Y,Y,29
2026-07-29 01:59:13,A1100013,한양대학교병원,20260729015259,15,0,4,16,2,118,Y,Y,Y,Y,Y,20
2026-07-29 01:59:13,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260729015510,6,0,0,25,-2,27,Y,Y,Y,Y,Y,30
2026-07-29 01:59:13,A1100005,이화여자대학교의과대학부속목동병원,20260729015051,15,0,4,13,16,46,Y,Y,Y,Y,Y,19
2026-07-29 01:59:13,A1100017,서울대학교병원,20260729015528,-6,2,4,53,4,71,Y,Y,Y,Y,Y,24
2026-07-29 01:59:13,A1100035,서울특별시서울의료원,20260729015500,14,0,,10,1,93,Y,Y,Y,Y,Y,19
