collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-09-20 02:50:29,A1100043,강동경희대학교병원,20260920024517,10,,,17,3,218,Y,Y,Y,Y,Y,15
2026-09-20 02:50:29,A1100014,고려대학교의과대학부속구로병원,20260920024154,15,1,2,24,-1,171,Y,Y,Y,Y,Y,29
2026-09-20 02:50:29,A1100013,한양대학교병원,20260920024300,12,2,,16,-2,246,Y,Y,Y,Y,Y,20
2026-09-20 02:50:29,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260920024526,17,1,6,25,-1,243,Y,Y,Y,Y,Y,30
2026-09-20 02:50:29,A1100005,이화여자대학교의과대학부속목동병원,20260920024042,8,1,5,13,15,128,Y,Y,Y,Y,Y,19
2026-09-20 02:50:29,A1100017,서울대학교병원,20260920024527,-2,2,7,53,10,338,Y,Y,Y,Y,Y,24
2026-09-20 02:50:29,A1100035,서울특별시서울의료원,20260920024500,13,1,,10,2,133,Y,Y,Y,Y,Y,19
2026-09-20 02:50:29,A1100015,연세대학교의과대학강남세브란스병원,20260920024423,7,,,23,1,233,Y,Y,Y,Y,Y,21
2026-09-20 02:50:29,A1100010,삼성서울병원,20260920024512,-1,6,12,45,3,397,Y,Y,Y,Y,Y,52
2026-09-20 02:50:29,A1100028,성심의료재단강동성심병원,20260920024512,9,0,,13,3,190,Y,Y,Y,Y,Y,15
2026-09-20 02:50:29,A1100053,한국보훈복지의료공단 중앙보훈병원,20260920024052,20,3,10,13,,182,Y,Y,Y,Y,Y,22
2026-09-20 02:50:29,A1120796,이화여자대학교의과대학부속서울병원,20260920024051,-2,1,8,19,3,212,Y,Y,Y,Y,Y,14
2026-09-20 02:50:29,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260920024510,13,,,7,,58,Y,Y,Y,Y,Y,18
2026-09-20 02:50:29,A1100002,건국대학교병원,20260920024312,10,8,7,21,-2,241,Y,Y,Y,Y,Y,20
2026-09-20 02:50:29,A1100016,인제대학교상계백병원,20260920024139,5,0,2,13,0,104,Y,Y,Y,Y,Y,16
2026-09-20 02:50:29,A1100048,노원을지대학교병원,20260920024102,16,1,7,11,6,253,Y,Y,Y,Y,Y,17
2026-09-20 02:50:29,A1100020,의료법인한전의료재단 한일병원,20260920024503,16,,,8,,103,Y,Y,Y,Y,Y,21
2026-09-20 02:50:29,A1100001,경희대학교병원,20260920024529,10,,,16,3,242,Y,Y,Y,Y,Y,15
2026-09-20 02:50:29,A1100021,삼육서울병원,20260920024232,11,,,5,4,81,Y,Y,Y,Y,Y,13
2026-09-20 02:50:29,A1100040,서울특별시보라매병원,20260920024500,16,5,10,14,2,263,Y,Y,Y,Y,Y,31
2026-09-20 02:50:29,A1100003,중앙대학교병원,20260920024508,14,0,1,16,0,214,Y,Y,Y,Y,Y,22
