collected_at,hpid,dutyName,hvidate,hvec,hv2,hv3,hvoc,hvncc,hvgc,hvctayn,hvmriayn,hvangioayn,hvventiayn,hvamyn,hvs01
2026-08-11 02:26:08,A1100043,강동경희대학교병원,20260811022518,7,,,17,6,106,Y,Y,Y,Y,Y,15
2026-08-11 02:26:08,A1100014,고려대학교의과대학부속구로병원,20260811022425,6,1,6,24,0,-1,Y,Y,Y,Y,Y,29
2026-08-11 02:26:08,A1100013,한양대학교병원,20260811022300,10,3,0,16,3,149,Y,Y,Y,Y,Y,20
2026-08-11 02:26:08,A1100008,학교법인고려중앙학원고려대학교의과대학부속병원(안암병원),20260811022302,14,0,3,24,-1,23,Y,Y,Y,Y,Y,30
2026-08-11 02:26:08,A1100005,이화여자대학교의과대학부속목동병원,20260811022103,12,2,4,12,10,47,Y,Y,Y,Y,Y,19
2026-08-11 02:26:08,A1100017,서울대학교병원,20260811022520,-4,3,4,53,3,61,Y,Y,Y,Y,Y,24
2026-08-11 02:26:08,A1100035,서울특별시서울의료원,20260811022501,13,4,,10,3,78,Y,Y,Y,Y,Y,19
2026-08-11 02:26:08,A1100015,연세대학교의과대학강남세브란스병원,20260811022500,0,,,23,1,18,Y,Y,Y,Y,Y,21
2026-08-11 02:26:08,A1100010,삼성서울병원,20260811022259,-22,9,6,46,-1,84,Y,Y,Y,Y,Y,52
2026-08-11 02:26:08,A1100028,성심의료재단강동성심병원,20260811022432,7,0,,13,3,85,Y,Y,Y,Y,Y,15
2026-08-11 02:26:08,A1100053,한국보훈복지의료공단중앙보훈병원,20260811022421,17,5,5,13,,98,Y,Y,Y,Y,Y,22
2026-08-11 02:26:08,A1120796,이화여자대학교의과대학부속서울병원,20260811022159,4,2,5,17,7,58,Y,Y,Y,Y,Y,14
2026-08-11 02:26:08,A1100041,의료법인서울효천의료재단에이치플러스양지병원,20260811022511,11,,,7,,31,Y,Y,Y,Y,Y,18
2026-08-11 02:26:08,A1100002,건국대학교병원,20260811022314,13,6,5,21,0,78,Y,Y,Y,Y,Y,20
2026-08-11 02:26:08,A1100016,인제대학교상계백병원,20260811022318,9,4,4,13,0,42,Y,Y,Y,Y,Y,16
2026-08-11 02:26:08,A1100048,노원을지대학교병원,20260811022102,15,-1,-1,11,1,189,Y,Y,Y,Y,Y,17
2026-08-11 02:26:08,A1100020,의료법인한전의료재단한일병원,20260811022503,19,,,8,,70,Y,Y,Y,Y,Y,21
2026-08-11 02:26:08,A1100001,경희대학교병원,20260811022528,14,,,16,0,70,Y,Y,Y,Y,Y,15
2026-08-11 02:26:08,A1100021,삼육서울병원,20260811022256,9,,,5,4,61,Y,Y,Y,Y,Y,13
2026-08-11 02:26:08,A1100040,서울특별시보라매병원,20260811022500,20,3,10,14,4,143,Y,Y,Y,Y,Y,31
2026-08-11 02:26:08,A1100003,중앙대학교병원,20260811022508,11,5,0,16,0,105,Y,Y,Y,Y,Y,22
2026-08-11 02:26:08,A1100007,연세대학교의과대학세브란스병원,20260811022116,-3,9,6,3,5,171,Y,Y,Y,Y,Y,39
2026-08-11 02:26:08,A1100012,학교법인가톨릭학원가톨릭대학교서울성모병원,20260811022512,-7,10,8,32,7,78,Y,Y,Y,Y,Y,28
2026-08-11 02:26:08,A1100009,재단법인아산사회복지재단서울아산병원,20260811022515,1,0,3,4,12,127,Y,Y,Y,Y,Y,36
2026-08-11 02:26:08,A1100011,가톨릭대학교여의도성모병원,20260811022510,13,1,2,13,,33,Y,Y,Y,Y,Y,15
2026-08-11 02:26:08,A1100055,한림대학교강남성심병원,20260811022206,16,4,7,14,0,125,Y,Y,Y,Y,Y,20
2026-08-11 02:26:08,A1100054,성애의료재단성애병원,20260811022432,14,,,5,2,18,Y,Y,Y,Y,Y,15
2026-08-11 02:26:08,A1100004,순천향대학교부속서울병원,20260811022428,15,,,14,-1,88,Y,Y,Y,Y,Y,20
2026-08-11 02:26:08,A1121013,가톨릭대학교은평성모병원,20260811022509,14,1,2,19,4,77,Y,Y,Y,Y,Y,24
2026-08-11 02:26:08,A1100006,강북삼성병원,20260811022532,2,,0,16,0,10,Y,Y,Y,Y,Y,15
2026-08-11 02:26:08,A1100052,국립중앙의료원,20260811022504,13,,0,12312,,789,Y,Y,Y,Y,Y,15
2026-08-11 02:26:08,A1100036,부민병원,20260811022051,9,,,8,,23,Y,Y,Y,Y,Y,10
2026-08-11 02:26:08,A1100051,혜민병원,20260811022037,9,,,5,,19,Y,Y,N1,Y,Y,9
2026-08-11 02:26:08,A1100026,구로성심병원,20260811022344,8,,,3,,42,Y,Y,N1,Y,Y,9
